HS Grad Year,Zip Code,ALL KHEAA Number Grads ,ALL Free or Reduced Price Lunch ,ALL Number KEES Earned > $0 ,ALL Mean KEES Earned ,ALL Number ACT/SAT Exam Takers ,"ALL Mean ACT, SAT equivalent ",ALL Number AP Exam Takers ,ALL Number AP Exams Passed ,ALL Number FAFSA Filers , ALL Number FAFSA Filers Pell-eligible ,ALL Mean Pell for F/T Attendance ,MIN KHEAA Number Grads ,MIN Free or Reduced Price Lunch ,MIN Number KEES Earned > $0 ,MIN Mean KEES Earned ,MIN Number ACT/SAT Exam Takers ,"MIN Mean ACT, SAT equivalent ",MIN Number AP Exam Takers ,MIN Number AP Exams Passed ,MIN Number FAFSA Filers ,MIN Number FAFSA Filers Pell-eligible ,MIN Mean Pell for F/T Attendance 
20052006,40023,8, -   ,6,"$1,273 ",5,19.4, -   ,,2, -   ,  ,2, -   , -   ,,1,12, -   ,,1, -   ,  
20052006,40047,10, -   ,10,"$1,491 ",6,24.5, -   ,,7,1,"$3,000 ",1, -   ,1,"$2,146 ",1,23, -   ,,1, -   ,  
20052006,40059,68, -   ,63,"$1,637 ",53,24.7, -   ,,28,6,"$3,033 ",19, -   ,18,"$1,482 ",12,25.6, -   ,,13,2,"$2,275 "
20052006,40109,3, -   ,3,"$1,727 ",2,22.5, -   ,,2, -   ,  ,,,,,,,,,,,  
20052006,40118,79, -   ,65,"$1,106 ",46,19.3, -   ,,45,26,"$3,273 ",15, -   ,12,"$1,160 ",9,19.2, -   ,,9,7,"$2,643 "
20052006,40177,1, -   ,1,$800 , -   ,, -   ,,, -   ,  ,,,,,,,,,,,  
20052006,40202,8, -   ,7,$624 ,4,15.3, -   ,,5,5,"$4,040 ",8, -   ,7,$624 ,4,15.3, -   ,,5,5,"$4,040 "
20052006,40203,127, -   ,90,$749 ,69,16.3, -   ,,82,75,"$3,681 ",110, -   ,75,$702 ,59,15.6, -   ,,72,68,"$3,703 "
20052006,40204,59, -   ,52,"$1,165 ",46,20.5, -   ,,38,24,"$3,435 ",18, -   ,15,$815 ,14,16.3, -   ,,12,10,"$3,835 "
20052006,40205,92, -   ,84,"$1,346 ",74,22.9, -   ,,55,16,"$2,981 ",11, -   ,8,$859 ,8,19.4, -   ,,7,4,"$4,050 "
20052006,40206,71, -   ,64,"$1,178 ",54,22.2, -   ,,45,21,"$2,733 ",10, -   ,8,$807 ,8,16.8, -   ,,8,5,"$3,890 "
20052006,40207,119, -   ,110,"$1,643 ",93,24.7, -   ,,58,14,"$2,414 ",15, -   ,13,"$1,290 ",10,22.9, -   ,,9,2,"$2,500 "
20052006,40208,57, -   ,44,$970 ,36,19.3, -   ,,39,29,"$3,526 ",39, -   ,30,$789 ,23,17.2, -   ,,27,24,"$3,619 "
20052006,40209,5, -   ,3,"$1,187 ",3,15.7, -   ,,3,2,"$2,375 ",1, -   ,1,"$1,475 ",1,12, -   ,,, -   ,  
20052006,40210,134, -   ,109,$647 ,68,16.9, -   ,,84,75,"$3,663 ",132, -   ,107,$647 ,68,16.9, -   ,,84,75,"$3,663 "
20052006,40211,234, -   ,184,$696 ,139,17.1, -   ,,161,141,"$3,497 ",230, -   ,180,$697 ,137,17.1, -   ,,159,139,"$3,489 "
20052006,40212,142, -   ,101,$669 ,70,16.3, -   ,,81,67,"$3,668 ",108, -   ,71,$637 ,55,15.9, -   ,,68,58,"$3,609 "
20052006,40213,85, -   ,69,$984 ,51,20.1, -   ,,49,28,"$3,454 ",29, -   ,20,$930 ,18,18.1, -   ,,22,16,"$3,634 "
20052006,40214,287, -   ,240,"$1,133 ",183,20.1, -   ,,168,87,"$3,174 ",81, -   ,66,$995 ,52,17.7, -   ,,56,44,"$3,469 "
20052006,40215,143, -   ,112,$808 ,70,18.4, -   ,,80,67,"$3,475 ",74, -   ,61,$828 ,46,18, -   ,,52,46,"$3,443 "
20052006,40216,391, -   ,320,"$1,000 ",263,18.8, -   ,,244,129,"$3,123 ",186, -   ,145,$836 ,124,17.3, -   ,,130,82,"$3,268 "
20052006,40217,53, -   ,41,"$1,005 ",33,20.9, -   ,,26,11,"$3,373 ",12, -   ,8,$749 ,7,16.4, -   ,,6,5,"$3,510 "
20052006,40218,221, -   ,178,$914 ,150,18.9, -   ,,146,94,"$3,405 ",148, -   ,117,$781 ,100,17.8, -   ,,104,74,"$3,484 "
20052006,40219,278, -   ,236,$970 ,166,18.7, -   ,,161,96,"$3,080 ",109, -   ,88,$965 ,76,17.6, -   ,,75,55,"$2,968 "
20052006,40220,175, -   ,145,"$1,181 ",121,20.5, -   ,,113,54,"$2,968 ",53, -   ,37,"$1,009 ",31,19.4, -   ,,34,22,"$2,945 "
20052006,40222,113, -   ,99,"$1,512 ",90,23.6, -   ,,61,16,"$3,566 ",19, -   ,14,$825 ,11,19.5, -   ,,12,4,"$3,988 "
20052006,40223,140, -   ,125,"$1,506 ",112,23.2, -   ,,69,28,"$3,289 ",44, -   ,34,"$1,265 ",31,20.9, -   ,,28,16,"$3,559 "
20052006,40225,1, -   ,1,"$2,100 ",1,21, -   ,,, -   ,  ,,,,,,,,,,,  
20052006,40228,83, -   ,67,"$1,001 ",58,19.6, -   ,,47,19,"$3,192 ",27, -   ,21,$759 ,19,17.8, -   ,,18,9,"$3,661 "
20052006,40229,154, -   ,128,"$1,002 ",90,19.4, -   ,,88,37,"$3,099 ",33, -   ,25,"$1,060 ",21,19.3, -   ,,20,11,"$2,764 "
